Wafer,Band,Row,Col,Width_nm,ER_dB,IL_dB,Vpi_V,FSR_nm,dlam_dV_pm_per_V,vpi_status,amplitude_ratio_k,power_split_ratio,imbalance_dB,mzm_loss_dB,is_outlier_ER_dB,robust_z_ER_dB,is_outlier_IL_dB,robust_z_IL_dB,is_outlier_Vpi_V,robust_z_Vpi_V,is_trusted
D08,O,2,-3,380,32.134,-7.603,28.1,9.7286,-173.13,ok,0.95173,0.90578,0.43,0.767,False,0.21,False,-0.03,False,0.1,True
D08,O,2,-1,380,32.724,-6.275,27.81,9.8947,-177.9,ok,0.95482,0.91169,0.4,0.147,False,0.84,False,0.9,False,-0.1,True
D08,O,2,2,380,33.164,-6.498,27.6,9.8692,-178.79,ok,0.95701,0.91586,0.38,0.685,False,1.31,False,0.74,False,-0.24,True
D08,O,3,0,380,31.483,-6.572,28.74,9.7583,-169.78,ok,0.94807,0.89883,0.46,0.55,False,-0.49,False,0.69,False,0.54,True
D23,O,-4,-1,380,29.083,-8.322,36.18,9.6862,-133.85,ok,0.9321,0.86881,0.61,1.418,False,-2.02,False,-1.12,False,-1.07,True
D23,O,-3,-3,380,31.257,-9.721,42.12,9.7797,-116.09,ok,0.94673,0.8963,0.48,1.299,False,-0.46,False,-2.68,False,0.17,True
D23,O,-3,0,380,32.936,-7.292,42.05,9.7898,-116.4,ok,0.95589,0.91372,0.39,0.981,False,0.75,False,0.02,False,0.16,True
D23,O,-3,2,380,30.942,-7.466,35.49,9.7281,-137.06,ok,0.94482,0.89269,0.49,0.935,False,-0.68,False,-0.17,False,-1.22,True
D23,O,-1,-3,380,30.964,-9.174,45.89,9.8252,-107.06,ok,0.94496,0.89294,0.49,2.05,False,-0.67,False,-2.07,False,0.96,True
D23,O,-1,-1,380,30.056,-7.066,44.36,9.9555,-112.21,ok,0.93908,0.88186,0.55,0.87,False,-1.32,False,0.28,False,0.64,True
D23,O,-1,3,380,31.848,-7.954,35.16,9.9054,-140.86,ok,0.95015,0.90278,0.44,1.069,False,-0.03,False,-0.71,False,-1.29,True
D23,O,0,-4,380,32.196,-8.017,38.29,9.8096,-128.09,ok,0.95206,0.90642,0.43,0.983,False,0.22,False,-0.78,False,-0.63,True
D23,O,0,0,380,29.911,-6.744,46.64,9.9725,-106.92,ok,0.93808,0.88,0.56,0.533,False,-1.42,False,0.63,False,1.12,True
D23,O,0,2,380,32.627,-6.911,40.54,9.7831,-120.67,ok,0.95433,0.91074,0.41,0.894,False,0.53,False,0.45,False,-0.16,True
D23,O,2,-3,380,32.794,-7.334,37.81,9.8753,-130.6,ok,0.95518,0.91237,0.4,1.018,False,0.65,False,-0.02,False,-0.73,True
D23,O,2,-1,380,31.937,-6.962,42.12,9.9478,-118.08,ok,0.95065,0.90373,0.44,0.464,False,0.03,False,0.39,False,0.17,True
D23,O,2,2,380,34.566,-6.487,42.37,9.7892,-115.51,ok,0.9633,0.92794,0.32,0.337,False,1.92,False,0.92,False,0.23,True
D23,O,3,0,380,34.394,-6.538,37.93,9.7989,-129.17,ok,0.96258,0.92656,0.33,0.297,False,1.8,False,0.86,False,-0.71,True
D24,O,-4,-1,380,29.868,-8.519,41.34,9.758,-118.03,ok,0.93778,0.87944,0.56,1.689,False,-1.45,False,-0.68,False,0.14,True
D24,O,-3,-3,380,31.996,-9.754,37.35,9.7673,-130.75,ok,0.95097,0.90435,0.44,1.475,False,0.31,False,-2.04,False,-1.04,True
D24,O,-3,0,380,32.033,-7.907,38.19,9.7245,-127.31,ok,0.95117,0.90473,0.43,1.493,False,0.34,False,-0.01,False,-0.79,True
D24,O,-3,2,380,29.014,-7.995,40.4,9.8324,-121.69,ok,0.93158,0.86783,0.62,1.439,False,-2.16,False,-0.11,False,-0.14,True
D24,O,-1,-3,380,31.671,-8.967,39.5,9.7842,-123.84,ok,0.94915,0.90088,0.45,0.904,False,0.04,False,-1.17,False,-0.4,True
D24,O,-1,-1,380,31.376,-6.944,44.23,9.8525,-111.39,ok,0.94744,0.89764,0.47,0.963,False,-0.2,False,1.05,False,0.99,True
D24,O,-1,3,380,32.741,-8.506,38.16,9.8243,-128.72,ok,0.95491,0.91185,0.4,1.166,False,0.93,False,-0.67,False,-0.8,True
D24,O,0,-4,380,33.284,-8.225,42.95,9.7578,-113.59,ok,0.95758,0.91697,0.38,1.417,False,1.38,False,-0.36,False,0.61,True
D24,O,0,0,380,30.201,-6.855,43.37,9.9076,-114.23,ok,0.94005,0.8837,0.54,0.852,False,-1.17,False,1.15,False,0.74,True
D24,O,0,2,380,32.125,-6.539,41.84,9.838,-117.58,ok,0.95168,0.90569,0.43,0.601,False,0.42,False,1.5,False,0.29,True
D24,O,2,-3,380,31.565,-7.892,40.19,9.7933,-121.84,ok,0.94854,0.89973,0.46,0.976,False,-0.04,False,0.01,False,-0.2,True
D24,O,2,-1,380,33.118,-6.458,45.97,9.8985,-107.66,ok,0.95678,0.91544,0.38,0.57,False,1.24,False,1.59,False,1.5,True
D24,O,2,2,380,28.821,-7.31,43.91,9.8495,-112.15,ok,0.93009,0.86507,0.63,1.07,False,-2.31,False,0.65,False,0.9,True
D24,O,3,0,380,31.525,-7.498,40.04,9.8525,-123.04,ok,0.94831,0.89929,0.46,0.6,False,-0.08,False,0.44,False,-0.24,True
